timestamp,carpark_number,total_lots,lots_available,lot_type
2022-09-06 00:00:00,HE12,105,67,C
2022-09-06 00:00:00,HLM,583,487,C
2022-09-06 00:00:00,RHM,329,128,C
2022-09-06 00:00:00,BM29,97,86,C
2022-09-06 00:00:00,Q81,96,75,C
2022-09-06 00:00:00,C20,177,132,C
2022-09-06 00:00:00,FR3M,228,169,C
2022-09-06 00:00:00,C32,289,102,C
2022-09-06 00:00:00,C6,332,116,C
2022-09-06 00:00:00,TG2,273,90,C
2022-09-06 00:00:00,BP1,543,207,C
2022-09-06 00:00:00,TG1,133,48,C
2022-09-06 00:00:00,TGM2,189,127,C
2022-09-06 00:00:00,TE14,138,32,C
2022-09-06 00:00:00,BM3,48,0,C
2022-09-06 00:00:00,BM9,612,121,C
2022-09-06 00:00:00,HG44,155,28,C
2022-09-06 00:00:00,HG64,82,26,C
2022-09-06 00:00:00,PM27,326,97,C
2022-09-06 00:00:00,PM28,305,69,C
2022-09-06 00:00:00,TM36,225,51,C
2022-09-06 00:00:00,TM37,244,66,C
2022-09-06 00:00:00,T50,350,105,C
2022-09-06 00:00:00,T51,346,49,C
2022-09-06 00:00:00,TM43,247,188,C
2022-09-06 00:00:00,T15,30,18,C
2022-09-06 00:00:00,T16,109,20,C
2022-09-06 00:00:00,T17,228,66,C
2022-09-06 00:00:00,T18,81,46,C
2022-09-06 00:00:00,B9,213,93,C
2022-09-06 00:00:00,B10,516,172,C
2022-09-06 00:00:00,B14,208,61,C
2022-09-06 00:00:00,WCB,143,86,C
2022-09-06 00:00:00,ACB,93,64,C
2022-09-06 00:00:00,CY,31,13,C
2022-09-06 00:00:00,AM46,408,46,C
2022-09-06 00:00:00,A12,205,100,C
2022-09-06 00:00:00,BE45,363,55,C
2022-09-06 00:00:00,BE39,707,181,C
2022-09-06 00:00:00,BE40,339,201,C
2022-09-06 00:00:00,RCB,320,181,C
2022-09-06 00:00:00,CR29,56,0,C
2022-09-06 00:00:00,KLM,352,280,C
2022-09-06 00:00:00,SE34,270,29,C
2022-09-06 00:00:00,KB7,65,51,C
2022-09-06 00:00:00,SE31,187,14,C
2022-09-06 00:00:00,J56,15,11,C
2022-09-06 00:00:00,J57,362,333,C
2022-09-06 00:00:00,J57L,13,11,C
2022-09-06 00:00:00,J33,129,52,C
2022-09-06 00:00:00,J34,123,60,C
2022-09-06 00:00:00,BL8,679,283,C
2022-09-06 00:00:00,J36,482,93,C
2022-09-06 00:00:00,J54,226,137,C
2022-09-06 00:00:00,J55,141,93,C
2022-09-06 00:00:00,J43,190,59,C
2022-09-06 00:00:00,J46,63,32,C
2022-09-06 00:00:00,KB1,239,49,C
2022-09-06 00:00:00,GBM,677,337,C
2022-09-06 00:00:00,SE14,187,59,C
2022-09-06 00:00:00,SE50,591,359,C
2022-09-06 00:00:00,J40,206,28,C
2022-09-06 00:00:00,JM1,268,109,C
2022-09-06 00:00:00,J32,199,77,C
2022-09-06 00:00:00,A11,368,151,C
2022-09-06 00:00:00,TR1,391,116,C
2022-09-06 00:00:00,JBM,342,202,C
2022-09-06 00:00:00,TE2,213,119,C
2022-09-06 00:00:00,CR31,93,10,C
2022-09-06 00:00:00,J1,368,122,C
2022-09-06 00:00:00,J2,200,93,C
2022-09-06 00:00:00,J3,308,115,C
2022-09-06 00:00:00,T37,1163,434,C
2022-09-06 00:00:00,KB3,149,62,C
2022-09-06 00:00:00,KBM,239,142,C
2022-09-06 00:00:00,J4,172,46,C
2022-09-06 00:00:00,TGM1,388,217,C
2022-09-06 00:00:00,TG3,208,73,C
