timestamp,carpark_number,total_lots,lots_available,lot_type
2022-09-13 00:00:00,HE12,105,54,C
2022-09-13 00:00:00,HLM,583,479,C
2022-09-13 00:00:00,RHM,329,120,C
2022-09-13 00:00:00,BM29,97,83,C
2022-09-13 00:00:00,Q81,96,82,C
2022-09-13 00:00:00,C20,177,2,C
2022-09-13 00:00:00,FR3M,228,164,C
2022-09-13 00:00:00,C32,289,93,C
2022-09-13 00:00:00,C6,332,122,C
2022-09-13 00:00:00,TG2,273,89,C
2022-09-13 00:00:00,BP1,543,200,C
2022-09-13 00:00:00,TG1,133,45,C
2022-09-13 00:00:00,TGM2,189,125,C
2022-09-13 00:00:00,TE14,138,34,C
2022-09-13 00:00:00,BM3,48,2,C
2022-09-13 00:00:00,BM9,612,121,C
2022-09-13 00:00:00,HG44,155,26,C
2022-09-13 00:00:00,HG64,82,36,C
2022-09-13 00:00:00,PM27,326,112,C
2022-09-13 00:00:00,PM28,305,75,C
2022-09-13 00:00:00,TM36,225,53,C
2022-09-13 00:00:00,TM37,244,61,C
2022-09-13 00:00:00,T50,350,104,C
2022-09-13 00:00:00,T51,346,44,C
2022-09-13 00:00:00,TM43,247,187,C
2022-09-13 00:00:00,T15,30,12,C
2022-09-13 00:00:00,T16,109,24,C
2022-09-13 00:00:00,T17,228,58,C
2022-09-13 00:00:00,T18,81,49,C
2022-09-13 00:00:00,B9,213,95,C
2022-09-13 00:00:00,B10,516,170,C
2022-09-13 00:00:00,B14,208,61,C
2022-09-13 00:00:00,WCB,143,88,C
2022-09-13 00:00:00,ACB,93,63,C
2022-09-13 00:00:00,CY,31,0,C
2022-09-13 00:00:00,AM46,408,50,C
2022-09-13 00:00:00,A12,205,97,C
2022-09-13 00:00:00,BE45,363,51,C
2022-09-13 00:00:00,BE39,707,138,C
2022-09-13 00:00:00,BE40,339,201,C
2022-09-13 00:00:00,RCB,320,181,C
2022-09-13 00:00:00,CR29,56,0,C
2022-09-13 00:00:00,KLM,352,285,C
2022-09-13 00:00:00,SE34,270,38,C
2022-09-13 00:00:00,KB7,65,50,C
2022-09-13 00:00:00,SE31,187,7,C
2022-09-13 00:00:00,J56,15,12,C
2022-09-13 00:00:00,J57,362,339,C
2022-09-13 00:00:00,J57L,13,11,C
2022-09-13 00:00:00,J33,129,48,C
2022-09-13 00:00:00,J34,123,50,C
2022-09-13 00:00:00,BL8,679,294,C
2022-09-13 00:00:00,J36,482,88,C
2022-09-13 00:00:00,J54,226,139,C
2022-09-13 00:00:00,J55,141,101,C
2022-09-13 00:00:00,J43,190,63,C
2022-09-13 00:00:00,J46,63,32,C
2022-09-13 00:00:00,KB1,239,56,C
2022-09-13 00:00:00,GBM,677,335,C
2022-09-13 00:00:00,SE14,187,61,C
2022-09-13 00:00:00,SE50,591,355,C
2022-09-13 00:00:00,J40,206,29,C
2022-09-13 00:00:00,JM1,268,112,C
2022-09-13 00:00:00,J32,199,72,C
2022-09-13 00:00:00,A11,368,126,C
2022-09-13 00:00:00,TR1,391,121,C
2022-09-13 00:00:00,JBM,342,199,C
2022-09-13 00:00:00,TE2,213,119,C
2022-09-13 00:00:00,CR31,93,12,C
2022-09-13 00:00:00,J1,368,131,C
2022-09-13 00:00:00,J2,200,86,C
2022-09-13 00:00:00,J3,308,115,C
2022-09-13 00:00:00,T37,1163,421,C
2022-09-13 00:00:00,KB3,149,61,C
2022-09-13 00:00:00,KBM,239,140,C
2022-09-13 00:00:00,J4,172,42,C
2022-09-13 00:00:00,TGM1,388,220,C
2022-09-13 00:00:00,TG3,208,80,C
2022-09-13 00:00:00,TG6,176,70,C
2022-09-13 00:00:00,TG7,362,135,C
2022-09-13 00:00:00,CR30,54,11,C
2022-09-13 00:00:00,RCM,151,55,C
2022-09-13 00:00:00,EPM,286,110,C
2022-09-13 00:00:00,TGM3,553,182,C
2022-09-13 00:00:00,KB14,58,49,C
2022-09-13 00:00:00,J41,350,94,C
2022-09-13 00:00:00,JBM2,144,34,C
2022-09-13 00:00:00,J39,250,53,C
2022-09-13 00:00:00,J52,626,56,C
2022-09-13 00:00:00,J51,655,275,C
2022-09-13 00:00:00,J53,215,69,C
2022-09-13 00:00:00,T19,881,262,C
2022-09-13 00:00:00,J49,922,514,C
2022-09-13 00:00:00,J27,291,55,C
2022-09-13 00:00:00,TB14,43,3,C
2022-09-13 00:00:00,U19,501,207,C
2022-09-13 00:00:00,U6,95,50,C
2022-09-13 00:00:00,U45,159,36,C
2022-09-13 00:00:00,BBM7,175,142,C
2022-09-13 00:00:00,BE12,459,124,C
2022-09-13 00:00:00,HG41,461,81,C
2022-09-13 00:00:00,HG43,487,162,C
2022-09-13 00:00:00,MN1,257,50,C
2022-09-13 00:00:00,MNRM,355,175,C
2022-09-13 00:00:00,MN2,303,94,C
2022-09-13 00:00:00,C7,459,243,C
2022-09-13 00:00:00,C17,66,17,C
2022-09-13 00:00:00,C20M,550,442,C
2022-09-13 00:00:00,T41,202,96,C
2022-09-13 00:00:00,T42,86,28,C
2022-09-13 00:00:00,TM42,261,223,C
2022-09-13 00:00:00,J48,745,244,C
2022-09-13 00:00:00,BH1,57,48,C
2022-09-13 00:00:00,BH2,47,30,C
2022-09-13 00:00:00,BKE7,172,159,C
2022-09-13 00:00:00,BR5,150,52,C
2022-09-13 00:00:00,BRM3,406,188,C
2022-09-13 00:00:00,BRM4,176,40,C
2022-09-13 00:00:00,M16,124,31,C
2022-09-13 00:00:00,M20,36,3,C
2022-09-13 00:00:00,M35,91,14,C
2022-09-13 00:00:00,M36,17,2,C
2022-09-13 00:00:00,M37,35,0,C
2022-09-13 00:00:00,M38,39,10,C
2022-09-13 00:00:00,MM3,222,135,C
2022-09-13 00:00:00,MP12,220,49,C
2022-09-13 00:00:00,MP13,396,205,C
2022-09-13 00:00:00,MP1M,522,256,C
2022-09-13 00:00:00,PP1,257,26,C
2022-09-13 00:00:00,PP2,192,110,C
2022-09-13 00:00:00,PP3,345,77,C
2022-09-13 00:00:00,PP4,166,0,C
2022-09-13 00:00:00,PP5,346,81,C
2022-09-13 00:00:00,TP10,83,36,C
2022-09-13 00:00:00,TP14,53,12,C
2022-09-13 00:00:00,TP16,668,550,C
2022-09-13 00:00:00,TP17,119,62,C
2022-09-13 00:00:00,TP18,383,332,C
2022-09-13 00:00:00,TP2,85,8,C
2022-09-13 00:00:00,TPMG,116,76,C
2022-09-13 00:00:00,TP36,247,24,C
2022-09-13 00:00:00,TPM4,343,118,C
2022-09-13 00:00:00,TPM5,342,178,C
2022-09-13 00:00:00,TPM6,358,138,C
2022-09-13 00:00:00,TP27,257,129,C
2022-09-13 00:00:00,TPMN,815,421,C
2022-09-13 00:00:00,TPMP,808,178,C
2022-09-13 00:00:00,WDB1,75,21,C
2022-09-13 00:00:00,Y23,823,230,C
2022-09-13 00:00:00,Y24,181,48,C
2022-09-13 00:00:00,Y56,45,17,C
2022-09-13 00:00:00,BBM1,406,208,C
2022-09-13 00:00:00,BBM8,329,102,C
2022-09-13 00:00:00,BJ10,310,61,C
2022-09-13 00:00:00,BJ11,100,10,C
2022-09-13 00:00:00,BJ12,550,106,C
2022-09-13 00:00:00,BJ17,172,91,C
2022-09-13 00:00:00,BJ18,324,78,C
2022-09-13 00:00:00,BJ28,669,340,C
2022-09-13 00:00:00,BJ3,1054,247,C
2022-09-13 00:00:00,BJ33,366,225,C
2022-09-13 00:00:00,BJ42,450,122,C
2022-09-13 00:00:00,BJ45,232,133,C
2022-09-13 00:00:00,CK21,192,142,C
2022-09-13 00:00:00,U48,93,29,C
2022-09-13 00:00:00,U5,101,25,C
2022-09-13 00:00:00,JM14,490,227,C
2022-09-13 00:00:00,JM12,462,222,C
2022-09-13 00:00:00,W39,210,8,C
2022-09-13 00:00:00,PL67,735,285,C
2022-09-13 00:00:00,W2,1000,19,C
2022-09-13 00:00:00,W1,1000,53,C
2022-09-13 00:00:00,U9,400,28,C
2022-09-13 00:00:00,U26,595,150,C
2022-09-13 00:00:00,U25,625,167,C
2022-09-13 00:00:00,U24T,46,16,C
2022-09-13 00:00:00,U24,364,73,C
2022-09-13 00:00:00,U23,713,201,C
2022-09-13 00:00:00,U22,495,113,C
2022-09-13 00:00:00,U21,313,103,C
2022-09-13 00:00:00,U2,1109,379,C
2022-09-13 00:00:00,J45,361,105,C
2022-09-13 00:00:00,TM25,128,11,C
2022-09-13 00:00:00,TM26,124,9,C
2022-09-13 00:00:00,TM27,239,143,C
2022-09-13 00:00:00,J37,269,68,C
2022-09-13 00:00:00,BM1,60,8,C
2022-09-13 00:00:00,BM2,53,25,C
2022-09-13 00:00:00,BM26,460,317,C
2022-09-13 00:00:00,BWM,220,107,C
2022-09-13 00:00:00,TBMT,150,54,C
2022-09-13 00:00:00,TPM,384,238,C
2022-09-13 00:00:00,U29,338,311,C
2022-09-13 00:00:00,U27,20,16,C
