timestamp,carpark_number,total_lots,lots_available,lot_type
2022-09-29 02:00:00,HE12,105,34,C
2022-09-29 02:00:00,HLM,583,475,C
2022-09-29 02:00:00,RHM,329,121,C
2022-09-29 02:00:00,BM29,97,82,C
2022-09-29 02:00:00,Q81,96,76,C
2022-09-29 02:00:00,C20,177,134,C
2022-09-29 02:00:00,FR3M,228,154,C
2022-09-29 02:00:00,C32,289,92,C
2022-09-29 02:00:00,C6,332,100,C
2022-09-29 02:00:00,TG2,273,75,C
2022-09-29 02:00:00,BP1,543,191,C
2022-09-29 02:00:00,TG1,133,39,C
2022-09-29 02:00:00,TGM2,189,121,C
2022-09-29 02:00:00,TE14,138,27,C
2022-09-29 02:00:00,BM3,48,1,C
2022-09-29 02:00:00,BM9,612,121,C
2022-09-29 02:00:00,HG44,155,33,C
2022-09-29 02:00:00,HG64,82,51,C
2022-09-29 02:00:00,PM27,326,104,C
2022-09-29 02:00:00,PM28,305,68,C
2022-09-29 02:00:00,TM36,225,47,C
2022-09-29 02:00:00,TM37,244,57,C
2022-09-29 02:00:00,T50,350,94,C
2022-09-29 02:00:00,T51,346,39,C
2022-09-29 02:00:00,TM43,247,187,C
2022-09-29 02:00:00,T15,30,20,C
2022-09-29 02:00:00,T16,109,7,C
2022-09-29 02:00:00,T17,228,82,C
2022-09-29 02:00:00,T18,81,46,C
2022-09-29 02:00:00,B9,213,94,C
2022-09-29 02:00:00,B10,516,165,C
2022-09-29 02:00:00,B14,208,61,C
2022-09-29 02:00:00,WCB,143,81,C
2022-09-29 02:00:00,ACB,93,63,C
2022-09-29 02:00:00,CY,31,8,C
2022-09-29 02:00:00,AM46,408,43,C
2022-09-29 02:00:00,A12,205,96,C
2022-09-29 02:00:00,BE45,363,48,C
2022-09-29 02:00:00,BE39,707,146,C
2022-09-29 02:00:00,BE40,339,201,C
2022-09-29 02:00:00,RCB,320,181,C
2022-09-29 02:00:00,CR29,56,0,C
2022-09-29 02:00:00,KLM,352,274,C
2022-09-29 02:00:00,SE34,270,32,C
2022-09-29 02:00:00,KB7,65,47,C
2022-09-29 02:00:00,SE31,187,11,C
2022-09-29 02:00:00,J56,15,14,C
2022-09-29 02:00:00,J57,362,322,C
2022-09-29 02:00:00,J57L,13,11,C
2022-09-29 02:00:00,J33,129,46,C
2022-09-29 02:00:00,J34,123,49,C
2022-09-29 02:00:00,BL8,679,17,C
2022-09-29 02:00:00,J36,482,72,C
2022-09-29 02:00:00,J54,226,143,C
2022-09-29 02:00:00,J55,141,84,C
2022-09-29 02:00:00,J43,190,59,C
2022-09-29 02:00:00,J46,63,36,C
2022-09-29 02:00:00,KB1,239,36,C
2022-09-29 02:00:00,GBM,677,310,C
2022-09-29 02:00:00,SE14,187,38,C
2022-09-29 02:00:00,SE50,591,360,C
2022-09-29 02:00:00,J40,206,20,C
2022-09-29 02:00:00,JM1,268,110,C
2022-09-29 02:00:00,J32,199,66,C
2022-09-29 02:00:00,A11,368,115,C
2022-09-29 02:00:00,TR1,391,100,C
2022-09-29 02:00:00,JBM,342,212,C
2022-09-29 02:00:00,TE2,213,117,C
2022-09-29 02:00:00,CR31,93,12,C
2022-09-29 02:00:00,J1,368,126,C
2022-09-29 02:00:00,J2,200,80,C
2022-09-29 02:00:00,J3,308,108,C
2022-09-29 02:00:00,T37,1163,372,C
2022-09-29 02:00:00,KB3,149,54,C
2022-09-29 02:00:00,KBM,239,134,C
2022-09-29 02:00:00,J4,172,34,C
2022-09-29 02:00:00,TGM1,388,214,C
2022-09-29 02:00:00,TG3,208,75,C
2022-09-29 02:00:00,TG6,176,62,C
2022-09-29 02:00:00,TG7,362,139,C
2022-09-29 02:00:00,CR30,54,12,C
2022-09-29 02:00:00,RCM,151,55,C
2022-09-29 02:00:00,EPM,286,106,C
2022-09-29 02:00:00,TGM3,553,166,C
2022-09-29 02:00:00,KB14,58,46,C
2022-09-29 02:00:00,J41,350,87,C
2022-09-29 02:00:00,JBM2,144,30,C
2022-09-29 02:00:00,J39,250,43,C
2022-09-29 02:00:00,J52,626,116,C
2022-09-29 02:00:00,J51,655,263,C
2022-09-29 02:00:00,J53,215,61,C
2022-09-29 02:00:00,T19,881,242,C
2022-09-29 02:00:00,J49,922,502,C
2022-09-29 02:00:00,J27,291,61,C
2022-09-29 02:00:00,TB14,43,4,C
2022-09-29 02:00:00,U19,501,202,C
2022-09-29 02:00:00,U6,95,52,C
2022-09-29 02:00:00,U45,159,29,C
2022-09-29 02:00:00,BBM7,175,144,C
2022-09-29 02:00:00,BE12,459,119,C
2022-09-29 02:00:00,HG41,461,62,C
2022-09-29 02:00:00,HG43,487,141,C
2022-09-29 02:00:00,MN1,257,48,C
2022-09-29 02:00:00,MNRM,355,174,C
2022-09-29 02:00:00,MN2,303,86,C
2022-09-29 02:00:00,C7,459,250,C
2022-09-29 02:00:00,C17,66,0,C
2022-09-29 02:00:00,C20M,550,442,C
2022-09-29 02:00:00,T41,202,108,C
2022-09-29 02:00:00,T42,86,30,C
2022-09-29 02:00:00,TM42,261,224,C
2022-09-29 02:00:00,J48,745,209,C
2022-09-29 02:00:00,BH1,57,47,C
