timestamp,carpark_number,total_lots,lots_available,lot_type
2022-09-04 05:00:00,HE12,105,20,C
2022-09-04 05:00:00,HLM,583,483,C
2022-09-04 05:00:00,RHM,329,126,C
2022-09-04 05:00:00,BM29,97,82,C
2022-09-04 05:00:00,Q81,96,79,C
2022-09-04 05:00:00,C20,177,37,C
2022-09-04 05:00:00,FR3M,228,159,C
2022-09-04 05:00:00,C32,289,107,C
2022-09-04 05:00:00,C6,332,122,C
2022-09-04 05:00:00,TG2,273,83,C
2022-09-04 05:00:00,BP1,543,184,C
2022-09-04 05:00:00,TG1,133,48,C
2022-09-04 05:00:00,TGM2,189,119,C
2022-09-04 05:00:00,TE14,138,26,C
2022-09-04 05:00:00,BM3,48,0,C
2022-09-04 05:00:00,BM9,612,121,C
2022-09-04 05:00:00,HG44,155,2,C
2022-09-04 05:00:00,HG64,82,55,C
2022-09-04 05:00:00,PM27,326,105,C
2022-09-04 05:00:00,PM28,305,0,C
2022-09-04 05:00:00,TM36,225,46,C
2022-09-04 05:00:00,TM37,244,56,C
2022-09-04 05:00:00,T50,350,96,C
2022-09-04 05:00:00,T51,346,27,C
2022-09-04 05:00:00,TM43,247,175,C
2022-09-04 05:00:00,T15,30,7,C
2022-09-04 05:00:00,T16,109,24,C
2022-09-04 05:00:00,T17,228,80,C
2022-09-04 05:00:00,T18,81,42,C
2022-09-04 05:00:00,B9,213,93,C
2022-09-04 05:00:00,B10,516,156,C
2022-09-04 05:00:00,B14,208,61,C
2022-09-04 05:00:00,WCB,143,83,C
2022-09-04 05:00:00,ACB,93,64,C
2022-09-04 05:00:00,CY,31,8,C
2022-09-04 05:00:00,AM46,408,38,C
2022-09-04 05:00:00,A12,205,96,C
2022-09-04 05:00:00,BE45,363,56,C
2022-09-04 05:00:00,BE39,707,164,C
2022-09-04 05:00:00,BE40,339,201,C
2022-09-04 05:00:00,RCB,320,181,C
2022-09-04 05:00:00,CR29,56,0,C
2022-09-04 05:00:00,KLM,352,284,C
2022-09-04 05:00:00,SE34,270,43,C
2022-09-04 05:00:00,KB7,65,38,C
2022-09-04 05:00:00,SE31,187,3,C
2022-09-04 05:00:00,J56,15,11,C
2022-09-04 05:00:00,J57,362,341,C
2022-09-04 05:00:00,J57L,13,8,C
2022-09-04 05:00:00,J33,129,39,C
2022-09-04 05:00:00,J34,123,53,C
2022-09-04 05:00:00,BL8,679,257,C
2022-09-04 05:00:00,J36,482,88,C
2022-09-04 05:00:00,J54,226,137,C
