timestamp,carpark_number,total_lots,lots_available,lot_type
2022-11-05 01:01:00,HE12,105,60,C
2022-11-05 01:01:00,HLM,583,469,C
2022-11-05 01:01:00,RHM,329,135,C
2022-11-05 01:01:00,BM29,97,81,C
2022-11-05 01:01:00,Q81,96,86,C
2022-11-05 01:01:00,C20,177,131,C
2022-11-05 01:01:00,FR3M,228,174,C
2022-11-05 01:01:00,C32,289,93,C
2022-11-05 01:01:00,C6,332,117,C
2022-11-05 01:01:00,TG2,273,80,C
2022-11-05 01:01:00,BP1,543,217,C
2022-11-05 01:01:00,TG1,133,52,C
2022-11-05 01:01:00,TGM2,189,120,C
2022-11-05 01:01:00,TE14,138,24,C
2022-11-05 01:01:00,BM3,48,2,C
2022-11-05 01:01:00,BM9,612,121,C
2022-11-05 01:01:00,HG44,155,19,C
2022-11-05 01:01:00,HG64,82,44,C
2022-11-05 01:01:00,PM27,326,111,C
2022-11-05 01:01:00,PM28,305,79,C
2022-11-05 01:01:00,TM36,225,56,C
2022-11-05 01:01:00,TM37,244,66,C
2022-11-05 01:01:00,T50,350,103,C
2022-11-05 01:01:00,T51,346,27,C
2022-11-05 01:01:00,TM43,247,191,C
2022-11-05 01:01:00,T15,30,9,C
2022-11-05 01:01:00,T16,109,28,C
2022-11-05 01:01:00,T17,228,67,C
2022-11-05 01:01:00,T18,81,45,C
2022-11-05 01:01:00,B9,213,107,C
2022-11-05 01:01:00,B10,516,166,C
2022-11-05 01:01:00,B14,208,61,C
2022-11-05 01:01:00,WCB,143,89,C
2022-11-05 01:01:00,ACB,93,54,C
2022-11-05 01:01:00,CY,31,8,C
2022-11-05 01:01:00,AM46,408,31,C
2022-11-05 01:01:00,A12,205,101,C
2022-11-05 01:01:00,BE45,363,52,C
2022-11-05 01:01:00,BE39,707,171,C
2022-11-05 01:01:00,BE40,339,201,C
2022-11-05 01:01:00,RCB,320,181,C
2022-11-05 01:01:00,CR29,56,0,C
2022-11-05 01:01:00,KLM,352,273,C
2022-11-05 01:01:00,SE34,270,52,C
2022-11-05 01:01:00,KB7,65,50,C
2022-11-05 01:01:00,SE31,187,16,C
2022-11-05 01:01:00,J56,15,9,C
2022-11-05 01:01:00,J57,362,341,C
2022-11-05 01:01:00,J57L,13,11,C
2022-11-05 01:01:00,J33,129,49,C
2022-11-05 01:01:00,J34,123,54,C
2022-11-05 01:01:00,BL8,679,299,C
2022-11-05 01:01:00,J36,482,54,C
2022-11-05 01:01:00,J54,226,140,C
2022-11-05 01:01:00,J55,141,94,C
2022-11-05 01:01:00,J43,190,65,C
2022-11-05 01:01:00,J46,63,28,C
2022-11-05 01:01:00,KB1,239,44,C
2022-11-05 01:01:00,GBM,677,342,C
2022-11-05 01:01:00,SE14,187,49,C
2022-11-05 01:01:00,SE50,591,375,C
2022-11-05 01:01:00,J40,206,17,C
2022-11-05 01:01:00,JM1,268,103,C
2022-11-05 01:01:00,J32,199,75,C
2022-11-05 01:01:00,A11,368,133,C
2022-11-05 01:01:00,TR1,391,121,C
2022-11-05 01:01:00,JBM,342,211,C
2022-11-05 01:01:00,TE2,213,119,C
2022-11-05 01:01:00,CR31,93,1,C
2022-11-05 01:01:00,J1,368,133,C
2022-11-05 01:01:00,J2,200,94,C
2022-11-05 01:01:00,J3,308,115,C
2022-11-05 01:01:00,T37,1163,403,C
2022-11-05 01:01:00,KB3,149,48,C
2022-11-05 01:01:00,KBM,239,140,C
2022-11-05 01:01:00,J4,172,39,C
2022-11-05 01:01:00,TGM1,388,213,C
2022-11-05 01:01:00,TG3,208,79,C
2022-11-05 01:01:00,TG6,176,73,C
2022-11-05 01:01:00,TG7,362,114,C
2022-11-05 01:01:00,CR30,54,12,C
2022-11-05 01:01:00,RCM,151,60,C
2022-11-05 01:01:00,EPM,286,120,C
2022-11-05 01:01:00,TGM3,553,170,C
2022-11-05 01:01:00,KB14,58,44,C
2022-11-05 01:01:00,J41,350,103,C
2022-11-05 01:01:00,JBM2,144,30,C
2022-11-05 01:01:00,J39,250,56,C
2022-11-05 01:01:00,J52,626,51,C
2022-11-05 01:01:00,J51,655,285,C
2022-11-05 01:01:00,J53,215,71,C
2022-11-05 01:01:00,T19,881,256,C
2022-11-05 01:01:00,J49,922,528,C
2022-11-05 01:01:00,J27,291,67,C
2022-11-05 01:01:00,TB14,43,6,C
2022-11-05 01:01:00,U19,501,218,C
2022-11-05 01:01:00,U6,95,51,C
2022-11-05 01:01:00,U45,159,40,C
2022-11-05 01:01:00,BBM7,175,149,C
2022-11-05 01:01:00,BE12,459,129,C
2022-11-05 01:01:00,HG41,461,89,C
2022-11-05 01:01:00,HG43,487,169,C
2022-11-05 01:01:00,MN1,257,54,C
2022-11-05 01:01:00,MNRM,355,172,C
2022-11-05 01:01:00,MN2,303,101,C
2022-11-05 01:01:00,C7,459,255,C
2022-11-05 01:01:00,C17,66,34,C
2022-11-05 01:01:00,C20M,550,454,C
2022-11-05 01:01:00,T41,202,79,C
2022-11-05 01:01:00,T42,86,0,C
2022-11-05 01:01:00,TM42,261,230,C
2022-11-05 01:01:00,J48,745,267,C
2022-11-05 01:01:00,BH1,57,49,C
2022-11-05 01:01:00,BH2,47,32,C
2022-11-05 01:01:00,BKE7,172,155,C
2022-11-05 01:01:00,BR5,150,57,C
2022-11-05 01:01:00,BRM3,406,187,C
2022-11-05 01:01:00,BRM4,176,46,C
2022-11-05 01:01:00,M16,124,26,C
2022-11-05 01:01:00,M20,36,4,C
2022-11-05 01:01:00,M35,91,17,C
2022-11-05 01:01:00,M36,17,1,C
2022-11-05 01:01:00,M37,35,0,C
2022-11-05 01:01:00,M38,39,3,C
2022-11-05 01:01:00,MM3,222,137,C
2022-11-05 01:01:00,MP12,220,58,C
2022-11-05 01:01:00,MP13,396,188,C
2022-11-05 01:01:00,MP1M,522,263,C
