timestamp,carpark_number,total_lots,lots_available,lot_type
2022-11-08 00:01:00,HE12,105,63,C
2022-11-08 00:01:00,HLM,583,483,C
2022-11-08 00:01:00,RHM,329,123,C
2022-11-08 00:01:00,BM29,97,84,C
2022-11-08 00:01:00,Q81,96,79,C
2022-11-08 00:01:00,C20,177,104,C
2022-11-08 00:01:00,FR3M,228,170,C
2022-11-08 00:01:00,C32,289,107,C
2022-11-08 00:01:00,C6,332,111,C
2022-11-08 00:01:00,TG2,273,76,C
2022-11-08 00:01:00,BP1,543,210,C
2022-11-08 00:01:00,TG1,133,50,C
2022-11-08 00:01:00,TGM2,189,117,C
2022-11-08 00:01:00,TE14,138,38,C
2022-11-08 00:01:00,BM3,48,2,C
2022-11-08 00:01:00,BM9,612,121,C
2022-11-08 00:01:00,HG44,155,24,C
2022-11-08 00:01:00,HG64,82,27,C
2022-11-08 00:01:00,PM27,326,109,C
2022-11-08 00:01:00,PM28,305,80,C
2022-11-08 00:01:00,TM36,225,50,C
2022-11-08 00:01:00,TM37,244,64,C
2022-11-08 00:01:00,T50,350,109,C
2022-11-08 00:01:00,T51,346,44,C
2022-11-08 00:01:00,TM43,247,187,C
2022-11-08 00:01:00,T15,30,21,C
2022-11-08 00:01:00,T16,109,29,C
2022-11-08 00:01:00,T17,228,72,C
2022-11-08 00:01:00,T18,81,47,C
2022-11-08 00:01:00,B9,213,115,C
2022-11-08 00:01:00,B10,516,168,C
2022-11-08 00:01:00,B14,208,61,C
2022-11-08 00:01:00,WCB,143,49,C
2022-11-08 00:01:00,ACB,93,60,C
2022-11-08 00:01:00,CY,31,10,C
2022-11-08 00:01:00,AM46,408,47,C
2022-11-08 00:01:00,A12,205,95,C
2022-11-08 00:01:00,BE45,363,66,C
2022-11-08 00:01:00,BE39,707,84,C
2022-11-08 00:01:00,BE40,339,201,C
2022-11-08 00:01:00,RCB,320,181,C
2022-11-08 00:01:00,CR29,56,0,C
2022-11-08 00:01:00,KLM,352,277,C
2022-11-08 00:01:00,SE34,270,22,C
2022-11-08 00:01:00,KB7,65,45,C
2022-11-08 00:01:00,SE31,187,5,C
2022-11-08 00:01:00,J56,15,14,C
2022-11-08 00:01:00,J57,362,338,C
2022-11-08 00:01:00,J57L,13,11,C
2022-11-08 00:01:00,J33,129,45,C
2022-11-08 00:01:00,J34,123,47,C
2022-11-08 00:01:00,BL8,679,263,C
2022-11-08 00:01:00,J36,482,71,C
2022-11-08 00:01:00,J54,226,136,C
2022-11-08 00:01:00,J55,141,91,C
2022-11-08 00:01:00,J43,190,73,C
2022-11-08 00:01:00,J46,63,31,C
2022-11-08 00:01:00,KB1,239,53,C
2022-11-08 00:01:00,GBM,677,328,C
2022-11-08 00:01:00,SE14,187,40,C
2022-11-08 00:01:00,SE50,591,371,C
2022-11-08 00:01:00,J40,206,27,C
2022-11-08 00:01:00,JM1,268,103,C
2022-11-08 00:01:00,J32,199,65,C
2022-11-08 00:01:00,A11,368,127,C
2022-11-08 00:01:00,TR1,391,139,C
2022-11-08 00:01:00,JBM,342,214,C
2022-11-08 00:01:00,TE2,213,120,C
2022-11-08 00:01:00,CR31,93,6,C
2022-11-08 00:01:00,J1,368,130,C
2022-11-08 00:01:00,J2,200,82,C
2022-11-08 00:01:00,J3,308,123,C
2022-11-08 00:01:00,T37,1163,421,C
2022-11-08 00:01:00,KB3,149,42,C
2022-11-08 00:01:00,KBM,239,141,C
2022-11-08 00:01:00,J4,172,45,C
2022-11-08 00:01:00,TGM1,388,223,C
2022-11-08 00:01:00,TG3,208,70,C
2022-11-08 00:01:00,TG6,176,67,C
2022-11-08 00:01:00,TG7,362,105,C
2022-11-08 00:01:00,CR30,54,9,C
2022-11-08 00:01:00,RCM,151,53,C
2022-11-08 00:01:00,EPM,286,110,C
2022-11-08 00:01:00,TGM3,553,159,C
2022-11-08 00:01:00,KB14,58,34,C
2022-11-08 00:01:00,J41,350,93,C
2022-11-08 00:01:00,JBM2,144,38,C
2022-11-08 00:01:00,J39,250,45,C
2022-11-08 00:01:00,J52,626,36,C
2022-11-08 00:01:00,J51,655,275,C
2022-11-08 00:01:00,J53,215,66,C
2022-11-08 00:01:00,T19,881,262,C
2022-11-08 00:01:00,J49,922,519,C
2022-11-08 00:01:00,J27,291,53,C
2022-11-08 00:01:00,TB14,43,5,C
2022-11-08 00:01:00,U19,501,211,C
2022-11-08 00:01:00,U6,95,56,C
2022-11-08 00:01:00,U45,159,33,C
2022-11-08 00:01:00,BBM7,175,137,C
2022-11-08 00:01:00,BE12,459,125,C
2022-11-08 00:01:00,HG41,461,73,C
2022-11-08 00:01:00,HG43,487,159,C
2022-11-08 00:01:00,MN1,257,46,C
2022-11-08 00:01:00,MNRM,355,175,C
2022-11-08 00:01:00,MN2,303,91,C
2022-11-08 00:01:00,C7,459,164,C
2022-11-08 00:01:00,C17,66,32,C
2022-11-08 00:01:00,C20M,550,443,C
2022-11-08 00:01:00,T41,202,91,C
2022-11-08 00:01:00,T42,86,0,C
2022-11-08 00:01:00,TM42,261,222,C
2022-11-08 00:01:00,J48,745,246,C
2022-11-08 00:01:00,BH1,57,47,C
2022-11-08 00:01:00,BH2,47,18,C
2022-11-08 00:01:00,BKE7,172,156,C
2022-11-08 00:01:00,BR5,150,53,C
2022-11-08 00:01:00,BRM3,406,185,C
2022-11-08 00:01:00,BRM4,176,46,C
2022-11-08 00:01:00,M16,124,27,C
2022-11-08 00:01:00,M20,36,2,C
2022-11-08 00:01:00,M35,91,0,C
2022-11-08 00:01:00,M36,17,0,C
2022-11-08 00:01:00,M37,35,0,C
2022-11-08 00:01:00,M38,39,4,C
2022-11-08 00:01:00,MM3,222,126,C
2022-11-08 00:01:00,MP12,220,66,C
2022-11-08 00:01:00,MP13,396,186,C
2022-11-08 00:01:00,MP1M,522,244,C
2022-11-08 00:01:00,PP1,257,31,C
2022-11-08 00:01:00,PP2,192,106,C
2022-11-08 00:01:00,PP3,345,90,C
2022-11-08 00:01:00,PP4,166,0,C
2022-11-08 00:01:00,PP5,346,75,C
2022-11-08 00:01:00,TP10,83,27,C
2022-11-08 00:01:00,TP14,53,14,C
2022-11-08 00:01:00,TP16,668,583,C
2022-11-08 00:01:00,TP17,119,57,C
2022-11-08 00:01:00,TP18,383,315,C
2022-11-08 00:01:00,TP2,85,17,C
2022-11-08 00:01:00,TPMG,116,73,C
2022-11-08 00:01:00,TP36,247,10,C
2022-11-08 00:01:00,TPM4,343,120,C
2022-11-08 00:01:00,TPM5,342,174,C
2022-11-08 00:01:00,TPM6,358,131,C
2022-11-08 00:01:00,TP27,257,125,C
2022-11-08 00:01:00,TPMN,815,423,C
2022-11-08 00:01:00,TPMP,808,194,C
2022-11-08 00:01:00,WDB1,75,12,C
2022-11-08 00:01:00,Y23,823,231,C
2022-11-08 00:01:00,Y24,181,44,C
2022-11-08 00:01:00,Y56,45,13,C
2022-11-08 00:01:00,BBM1,406,213,C
2022-11-08 00:01:00,BBM8,329,114,C
2022-11-08 00:01:00,BJ10,310,48,C
2022-11-08 00:01:00,BJ11,100,11,C
2022-11-08 00:01:00,BJ12,550,86,C
2022-11-08 00:01:00,BJ17,172,83,C
2022-11-08 00:01:00,BJ18,324,96,C
2022-11-08 00:01:00,BJ28,669,351,C
2022-11-08 00:01:00,BJ3,1054,247,C
2022-11-08 00:01:00,BJ33,366,237,C
2022-11-08 00:01:00,BJ42,450,134,C
2022-11-08 00:01:00,BJ45,232,136,C
2022-11-08 00:01:00,CK21,192,142,C
2022-11-08 00:01:00,U48,93,36,C
2022-11-08 00:01:00,U5,101,26,C
2022-11-08 00:01:00,JM14,490,213,C
2022-11-08 00:01:00,JM12,462,230,C
2022-11-08 00:01:00,W39,210,7,C
2022-11-08 00:01:00,PL67,735,303,C
2022-11-08 00:01:00,W2,1000,19,C
2022-11-08 00:01:00,W1,1000,53,C
2022-11-08 00:01:00,U9,400,25,C
2022-11-08 00:01:00,U26,595,120,C
2022-11-08 00:01:00,U25,625,169,C
2022-11-08 00:01:00,U24T,46,14,C
2022-11-08 00:01:00,U24,364,75,C
2022-11-08 00:01:00,U23,713,214,C
2022-11-08 00:01:00,U22,495,139,C
2022-11-08 00:01:00,U21,313,100,C
2022-11-08 00:01:00,U2,1109,356,C
2022-11-08 00:01:00,J45,361,107,C
2022-11-08 00:01:00,TM25,128,9,C
2022-11-08 00:01:00,TM26,124,10,C
2022-11-08 00:01:00,TM27,239,161,C
2022-11-08 00:01:00,J37,269,72,C
2022-11-08 00:01:00,BM1,60,14,C
2022-11-08 00:01:00,BM2,53,26,C
2022-11-08 00:01:00,BM26,460,303,C
2022-11-08 00:01:00,BWM,220,110,C
2022-11-08 00:01:00,TBMT,150,42,C
2022-11-08 00:01:00,TPM,384,236,C
2022-11-08 00:01:00,U29,338,305,C
2022-11-08 00:01:00,U27,20,13,C
2022-11-08 00:01:00,U18,312,78,C
2022-11-08 00:01:00,U30,143,70,C
2022-11-08 00:01:00,EPML,25,0,C
2022-11-08 00:01:00,TE25,298,113,C
2022-11-08 00:01:00,TE3,19,0,C
2022-11-08 00:01:00,TE4,30,7,C
2022-11-08 00:01:00,U28,15,10,C
2022-11-08 00:01:00,A15,59,27,C
2022-11-08 00:01:00,BM28,47,1,C
2022-11-08 00:01:00,BM30,46,0,C
2022-11-08 00:01:00,BTM,292,96,C
2022-11-08 00:01:00,BTM2,496,262,C
2022-11-08 00:01:00,SAM2,336,153,C
2022-11-08 00:01:00,TBM2,243,123,C
2022-11-08 00:01:00,TJ34,350,191,C
2022-11-08 00:01:00,U31,348,178,C
2022-11-08 00:01:00,BL13,413,176,C
2022-11-08 00:01:00,HG10,248,102,C
2022-11-08 00:01:00,W3,1000,217,C
2022-11-08 00:01:00,BJ65,224,48,C
2022-11-08 00:01:00,CK19,70,11,C
2022-11-08 00:01:00,CK4,10,3,C
2022-11-08 00:01:00,CK42,453,87,C
2022-11-08 00:01:00,CK7,298,208,C
2022-11-08 00:01:00,TW1,108,7,C
2022-11-08 00:01:00,TW2,355,80,C
2022-11-08 00:01:00,TW3,338,104,C
2022-11-08 00:01:00,BL18M,353,286,C
2022-11-08 00:01:00,B16,364,169,C
2022-11-08 00:01:00,B17,385,169,C
2022-11-08 00:01:00,B20,385,92,C
2022-11-08 00:01:00,B42,123,76,C
2022-11-08 00:01:00,B45,67,35,C
2022-11-08 00:01:00,B6,521,339,C
2022-11-08 00:01:00,B63,99,37,C
2022-11-08 00:01:00,B65,756,190,C
2022-11-08 00:01:00,B7,86,34,C
2022-11-08 00:01:00,B70,41,25,C
2022-11-08 00:01:00,B71,249,120,C
2022-11-08 00:01:00,B7A,129,32,C
2022-11-08 00:01:00,B8,113,54,C
2022-11-08 00:01:00,B80,250,240,C
2022-11-08 00:01:00,B84,555,502,C
2022-11-08 00:01:00,B88M,120,120,C
2022-11-08 00:01:00,B90,75,75,C
2022-11-08 00:01:00,B90M,75,75,C
2022-11-08 00:01:00,CC5,104,54,C
2022-11-08 00:01:00,CC6,41,31,C
2022-11-08 00:01:00,B30,353,83,C
2022-11-08 00:01:00,B31,415,216,C
2022-11-08 00:01:00,TJ28,755,448,C
2022-11-08 00:01:00,TJ31,833,299,C
2022-11-08 00:01:00,TJ37,384,384,C
2022-11-08 00:01:00,TJSF,842,829,C
2022-11-08 00:01:00,AM16,115,58,C
2022-11-08 00:01:00,AM32,91,1,C
2022-11-08 00:01:00,BJ2,385,57,C
2022-11-08 00:01:00,CK48,287,102,C
2022-11-08 00:01:00,BE8,544,295,C
2022-11-08 00:01:00,SE11,198,94,C
2022-11-08 00:01:00,SE20,548,524,C
2022-11-08 00:01:00,SE21,29,17,C
2022-11-08 00:01:00,SE22,20,14,C
2022-11-08 00:01:00,SE23,185,158,C
2022-11-08 00:01:00,SE24,167,134,C
2022-11-08 00:01:00,SE53,309,287,C
2022-11-08 00:01:00,SM9A,19,0,C
2022-11-08 00:01:00,SM9B,28,2,C
2022-11-08 00:01:00,FR4M,88,23,C
