timestamp,carpark_number,total_lots,lots_available,lot_type
2022-11-04 00:01:00,HE12,105,59,C
2022-11-04 00:01:00,HLM,583,470,C
2022-11-04 00:01:00,RHM,329,128,C
2022-11-04 00:01:00,BM29,97,84,C
2022-11-04 00:01:00,Q81,96,81,C
2022-11-04 00:01:00,C20,177,129,C
2022-11-04 00:01:00,FR3M,228,159,C
2022-11-04 00:01:00,C32,289,99,C
2022-11-04 00:01:00,C6,332,116,C
2022-11-04 00:01:00,TG2,273,85,C
2022-11-04 00:01:00,BP1,543,200,C
2022-11-04 00:01:00,TG1,133,52,C
2022-11-04 00:01:00,TGM2,189,112,C
2022-11-04 00:01:00,TE14,138,37,C
2022-11-04 00:01:00,BM3,48,2,C
2022-11-04 00:01:00,BM9,612,121,C
2022-11-04 00:01:00,HG44,155,21,C
2022-11-04 00:01:00,HG64,82,40,C
2022-11-04 00:01:00,PM27,326,108,C
2022-11-04 00:01:00,PM28,305,76,C
2022-11-04 00:01:00,TM36,225,53,C
2022-11-04 00:01:00,TM37,244,65,C
2022-11-04 00:01:00,T50,350,103,C
2022-11-04 00:01:00,T51,346,33,C
2022-11-04 00:01:00,TM43,247,190,C
2022-11-04 00:01:00,T15,30,11,C
2022-11-04 00:01:00,T16,109,32,C
2022-11-04 00:01:00,T17,228,71,C
2022-11-04 00:01:00,T18,81,48,C
2022-11-04 00:01:00,B9,213,115,C
2022-11-04 00:01:00,B10,516,169,C
2022-11-04 00:01:00,B14,208,61,C
2022-11-04 00:01:00,WCB,143,92,C
2022-11-04 00:01:00,ACB,93,45,C
2022-11-04 00:01:00,CY,31,0,C
2022-11-04 00:01:00,AM46,408,40,C
2022-11-04 00:01:00,A12,205,89,C
2022-11-04 00:01:00,BE45,363,54,C
2022-11-04 00:01:00,BE39,707,156,C
2022-11-04 00:01:00,BE40,339,201,C
2022-11-04 00:01:00,RCB,320,181,C
2022-11-04 00:01:00,CR29,56,0,C
2022-11-04 00:01:00,KLM,352,280,C
2022-11-04 00:01:00,SE34,270,45,C
2022-11-04 00:01:00,KB7,65,49,C
2022-11-04 00:01:00,SE31,187,12,C
2022-11-04 00:01:00,J56,15,7,C
2022-11-04 00:01:00,J57,362,342,C
2022-11-04 00:01:00,J57L,13,11,C
2022-11-04 00:01:00,J33,129,46,C
2022-11-04 00:01:00,J34,123,53,C
2022-11-04 00:01:00,BL8,679,291,C
2022-11-04 00:01:00,J36,482,74,C
2022-11-04 00:01:00,J54,226,126,C
2022-11-04 00:01:00,J55,141,97,C
2022-11-04 00:01:00,J43,190,64,C
2022-11-04 00:01:00,J46,63,40,C
2022-11-04 00:01:00,KB1,239,50,C
2022-11-04 00:01:00,GBM,677,336,C
2022-11-04 00:01:00,SE14,187,44,C
2022-11-04 00:01:00,SE50,591,383,C
2022-11-04 00:01:00,J40,206,9,C
2022-11-04 00:01:00,JM1,268,103,C
2022-11-04 00:01:00,J32,199,73,C
2022-11-04 00:01:00,A11,368,132,C
2022-11-04 00:01:00,TR1,391,125,C
2022-11-04 00:01:00,JBM,342,215,C
2022-11-04 00:01:00,TE2,213,123,C
2022-11-04 00:01:00,CR31,93,0,C
2022-11-04 00:01:00,J1,368,138,C
2022-11-04 00:01:00,J2,200,92,C
2022-11-04 00:01:00,J3,308,117,C
2022-11-04 00:01:00,T37,1163,392,C
2022-11-04 00:01:00,KB3,149,54,C
2022-11-04 00:01:00,KBM,239,140,C
2022-11-04 00:01:00,J4,172,34,C
2022-11-04 00:01:00,TGM1,388,216,C
2022-11-04 00:01:00,TG3,208,80,C
2022-11-04 00:01:00,TG6,176,77,C
2022-11-04 00:01:00,TG7,362,100,C
2022-11-04 00:01:00,CR30,54,7,C
2022-11-04 00:01:00,RCM,151,55,C
2022-11-04 00:01:00,EPM,286,118,C
2022-11-04 00:01:00,TGM3,553,182,C
2022-11-04 00:01:00,KB14,58,46,C
2022-11-04 00:01:00,J41,350,97,C
2022-11-04 00:01:00,JBM2,144,36,C
2022-11-04 00:01:00,J39,250,45,C
2022-11-04 00:01:00,J52,626,47,C
2022-11-04 00:01:00,J51,655,281,C
2022-11-04 00:01:00,J53,215,60,C
2022-11-04 00:01:00,T19,881,247,C
2022-11-04 00:01:00,J49,922,511,C
2022-11-04 00:01:00,J27,291,65,C
2022-11-04 00:01:00,TB14,43,3,C
2022-11-04 00:01:00,U19,501,222,C
2022-11-04 00:01:00,U6,95,46,C
2022-11-04 00:01:00,U45,159,39,C
2022-11-04 00:01:00,BBM7,175,142,C
2022-11-04 00:01:00,BE12,459,127,C
2022-11-04 00:01:00,HG41,461,71,C
2022-11-04 00:01:00,HG43,487,182,C
2022-11-04 00:01:00,MN1,257,56,C
2022-11-04 00:01:00,MNRM,355,172,C
2022-11-04 00:01:00,MN2,303,88,C
2022-11-04 00:01:00,C7,459,222,C
2022-11-04 00:01:00,C17,66,16,C
2022-11-04 00:01:00,C20M,550,448,C
2022-11-04 00:01:00,T41,202,77,C
2022-11-04 00:01:00,T42,86,0,C
2022-11-04 00:01:00,TM42,261,226,C
2022-11-04 00:01:00,J48,745,257,C
2022-11-04 00:01:00,BH1,57,47,C
2022-11-04 00:01:00,BH2,47,33,C
2022-11-04 00:01:00,BKE7,172,151,C
2022-11-04 00:01:00,BR5,150,57,C
2022-11-04 00:01:00,BRM3,406,186,C
2022-11-04 00:01:00,BRM4,176,45,C
2022-11-04 00:01:00,M16,124,31,C
2022-11-04 00:01:00,M20,36,2,C
2022-11-04 00:01:00,M35,91,19,C
2022-11-04 00:01:00,M36,17,1,C
2022-11-04 00:01:00,M37,35,0,C
2022-11-04 00:01:00,M38,39,5,C
2022-11-04 00:01:00,MM3,222,129,C
2022-11-04 00:01:00,MP12,220,49,C
2022-11-04 00:01:00,MP13,396,184,C
2022-11-04 00:01:00,MP1M,522,256,C
2022-11-04 00:01:00,PP1,257,33,C
2022-11-04 00:01:00,PP2,192,108,C
2022-11-04 00:01:00,PP3,345,105,C
2022-11-04 00:01:00,PP4,166,3,C
2022-11-04 00:01:00,PP5,346,86,C
2022-11-04 00:01:00,TP10,83,24,C
2022-11-04 00:01:00,TP14,53,12,C
2022-11-04 00:01:00,TP16,668,571,C
2022-11-04 00:01:00,TP17,119,62,C
2022-11-04 00:01:00,TP18,383,333,C
