timestamp,carpark_number,total_lots,lots_available,lot_type
2022-09-30 00:00:00,HE12,105,13,C
2022-09-30 00:00:00,HLM,583,470,C
2022-09-30 00:00:00,RHM,329,137,C
2022-09-30 00:00:00,BM29,97,81,C
2022-09-30 00:00:00,Q81,96,76,C
2022-09-30 00:00:00,C20,177,70,C
2022-09-30 00:00:00,FR3M,228,160,C
2022-09-30 00:00:00,C32,289,107,C
2022-09-30 00:00:00,C6,332,106,C
2022-09-30 00:00:00,TG2,273,80,C
2022-09-30 00:00:00,BP1,543,176,C
2022-09-30 00:00:00,TG1,133,44,C
2022-09-30 00:00:00,TGM2,189,112,C
2022-09-30 00:00:00,TE14,138,15,C
2022-09-30 00:00:00,BM3,48,2,C
2022-09-30 00:00:00,BM9,612,121,C
2022-09-30 00:00:00,HG44,155,22,C
2022-09-30 00:00:00,HG64,82,38,C
2022-09-30 00:00:00,PM27,326,110,C
2022-09-30 00:00:00,PM28,305,73,C
2022-09-30 00:00:00,TM36,225,50,C
2022-09-30 00:00:00,TM37,244,66,C
2022-09-30 00:00:00,T50,350,100,C
2022-09-30 00:00:00,T51,346,46,C
2022-09-30 00:00:00,TM43,247,188,C
2022-09-30 00:00:00,T15,30,18,C
2022-09-30 00:00:00,T16,109,10,C
2022-09-30 00:00:00,T17,228,70,C
2022-09-30 00:00:00,T18,81,44,C
2022-09-30 00:00:00,B9,213,108,C
2022-09-30 00:00:00,B10,516,181,C
2022-09-30 00:00:00,B14,208,61,C
2022-09-30 00:00:00,WCB,143,79,C
2022-09-30 00:00:00,ACB,93,62,C
2022-09-30 00:00:00,CY,31,15,C
2022-09-30 00:00:00,AM46,408,55,C
2022-09-30 00:00:00,A12,205,97,C
2022-09-30 00:00:00,BE45,363,52,C
2022-09-30 00:00:00,BE39,707,172,C
2022-09-30 00:00:00,BE40,339,201,C
2022-09-30 00:00:00,RCB,320,181,C
2022-09-30 00:00:00,CR29,56,0,C
2022-09-30 00:00:00,KLM,352,282,C
2022-09-30 00:00:00,SE34,270,40,C
2022-09-30 00:00:00,KB7,65,48,C
2022-09-30 00:00:00,SE31,187,14,C
2022-09-30 00:00:00,J56,15,10,C
2022-09-30 00:00:00,J57,362,343,C
2022-09-30 00:00:00,J57L,13,11,C
2022-09-30 00:00:00,J33,129,52,C
2022-09-30 00:00:00,J34,123,49,C
2022-09-30 00:00:00,BL8,679,258,C
2022-09-30 00:00:00,J36,482,97,C
2022-09-30 00:00:00,J54,226,140,C
2022-09-30 00:00:00,J55,141,87,C
2022-09-30 00:00:00,J43,190,62,C
2022-09-30 00:00:00,J46,63,31,C
2022-09-30 00:00:00,KB1,239,51,C
2022-09-30 00:00:00,GBM,677,324,C
2022-09-30 00:00:00,SE14,187,49,C
2022-09-30 00:00:00,SE50,591,380,C
2022-09-30 00:00:00,J40,206,29,C
2022-09-30 00:00:00,JM1,268,113,C
2022-09-30 00:00:00,J32,199,79,C
2022-09-30 00:00:00,A11,368,139,C
2022-09-30 00:00:00,TR1,391,130,C
2022-09-30 00:00:00,JBM,342,215,C
2022-09-30 00:00:00,TE2,213,123,C
2022-09-30 00:00:00,CR31,93,5,C
2022-09-30 00:00:00,J1,368,122,C
2022-09-30 00:00:00,J2,200,94,C
2022-09-30 00:00:00,J3,308,128,C
2022-09-30 00:00:00,T37,1163,412,C
2022-09-30 00:00:00,KB3,149,61,C
2022-09-30 00:00:00,KBM,239,142,C
2022-09-30 00:00:00,J4,172,42,C
2022-09-30 00:00:00,TGM1,388,221,C
2022-09-30 00:00:00,TG3,208,75,C
2022-09-30 00:00:00,TG6,176,74,C
2022-09-30 00:00:00,TG7,362,132,C
2022-09-30 00:00:00,CR30,54,10,C
2022-09-30 00:00:00,RCM,151,51,C
2022-09-30 00:00:00,EPM,286,116,C
2022-09-30 00:00:00,TGM3,553,178,C
2022-09-30 00:00:00,KB14,58,40,C
2022-09-30 00:00:00,J41,350,90,C
2022-09-30 00:00:00,JBM2,144,34,C
2022-09-30 00:00:00,J39,250,48,C
2022-09-30 00:00:00,J52,626,131,C
2022-09-30 00:00:00,J51,655,274,C
2022-09-30 00:00:00,J53,215,63,C
2022-09-30 00:00:00,T19,881,260,C
2022-09-30 00:00:00,J49,922,540,C
2022-09-30 00:00:00,J27,291,60,C
2022-09-30 00:00:00,TB14,43,4,C
2022-09-30 00:00:00,U19,501,198,C
2022-09-30 00:00:00,U6,95,51,C
2022-09-30 00:00:00,U45,159,35,C
2022-09-30 00:00:00,BBM7,175,146,C
2022-09-30 00:00:00,BE12,459,123,C
2022-09-30 00:00:00,HG41,461,84,C
2022-09-30 00:00:00,HG43,487,165,C
2022-09-30 00:00:00,MN1,257,56,C
2022-09-30 00:00:00,MNRM,355,188,C
2022-09-30 00:00:00,MN2,303,87,C
2022-09-30 00:00:00,C7,459,246,C
2022-09-30 00:00:00,C17,66,13,C
2022-09-30 00:00:00,C20M,550,446,C
2022-09-30 00:00:00,T41,202,109,C
2022-09-30 00:00:00,T42,86,30,C
2022-09-30 00:00:00,TM42,261,221,C
2022-09-30 00:00:00,J48,745,238,C
2022-09-30 00:00:00,BH1,57,46,C
2022-09-30 00:00:00,BH2,47,32,C
2022-09-30 00:00:00,BKE7,172,153,C
2022-09-30 00:00:00,BR5,150,53,C
2022-09-30 00:00:00,BRM3,406,193,C
2022-09-30 00:00:00,BRM4,176,48,C
2022-09-30 00:00:00,M16,124,33,C
2022-09-30 00:00:00,M20,36,2,C
2022-09-30 00:00:00,M35,91,15,C
2022-09-30 00:00:00,M36,17,3,C
2022-09-30 00:00:00,M37,35,3,C
2022-09-30 00:00:00,M38,39,9,C
2022-09-30 00:00:00,MM3,222,140,C
2022-09-30 00:00:00,MP12,220,68,C
2022-09-30 00:00:00,MP13,396,193,C
2022-09-30 00:00:00,MP1M,522,254,C
2022-09-30 00:00:00,PP1,257,24,C
2022-09-30 00:00:00,PP2,192,116,C
2022-09-30 00:00:00,PP3,345,97,C
2022-09-30 00:00:00,PP4,166,3,C
2022-09-30 00:00:00,PP5,346,94,C
2022-09-30 00:00:00,TP10,83,28,C
2022-09-30 00:00:00,TP14,53,6,C
2022-09-30 00:00:00,TP16,668,593,C
2022-09-30 00:00:00,TP17,119,64,C
2022-09-30 00:00:00,TP18,383,343,C
2022-09-30 00:00:00,TP2,85,17,C
2022-09-30 00:00:00,TPMG,116,77,C
2022-09-30 00:00:00,TP36,247,27,C
2022-09-30 00:00:00,TPM4,343,121,C
2022-09-30 00:00:00,TPM5,342,176,C
2022-09-30 00:00:00,TPM6,358,137,C
2022-09-30 00:00:00,TP27,257,131,C
2022-09-30 00:00:00,TPMN,815,434,C
2022-09-30 00:00:00,TPMP,808,185,C
2022-09-30 00:00:00,WDB1,75,9,C
2022-09-30 00:00:00,Y23,823,233,C
2022-09-30 00:00:00,Y24,181,43,C
2022-09-30 00:00:00,Y56,45,11,C
2022-09-30 00:00:00,BBM1,406,214,C
2022-09-30 00:00:00,BBM8,329,120,C
2022-09-30 00:00:00,BJ10,310,67,C
2022-09-30 00:00:00,BJ11,100,13,C
2022-09-30 00:00:00,BJ12,550,114,C
2022-09-30 00:00:00,BJ17,172,102,C
2022-09-30 00:00:00,BJ18,324,76,C
2022-09-30 00:00:00,BJ28,669,349,C
2022-09-30 00:00:00,BJ3,1054,269,C
2022-09-30 00:00:00,BJ33,366,235,C
2022-09-30 00:00:00,BJ42,450,130,C
2022-09-30 00:00:00,BJ45,232,135,C
2022-09-30 00:00:00,CK21,192,142,C
2022-09-30 00:00:00,U48,93,26,C
2022-09-30 00:00:00,U5,101,34,C
2022-09-30 00:00:00,JM14,490,225,C
2022-09-30 00:00:00,JM12,462,231,C
2022-09-30 00:00:00,W39,210,0,C
2022-09-30 00:00:00,PL67,735,329,C
2022-09-30 00:00:00,W2,1000,19,C
2022-09-30 00:00:00,W1,1000,53,C
2022-09-30 00:00:00,U9,400,28,C
2022-09-30 00:00:00,U26,595,147,C
2022-09-30 00:00:00,U25,625,179,C
2022-09-30 00:00:00,U24T,46,14,C
2022-09-30 00:00:00,U24,364,79,C
2022-09-30 00:00:00,U23,713,209,C
2022-09-30 00:00:00,U22,495,149,C
2022-09-30 00:00:00,U21,313,103,C
2022-09-30 00:00:00,U2,1109,350,C
2022-09-30 00:00:00,J45,361,100,C
2022-09-30 00:00:00,TM25,128,10,C
2022-09-30 00:00:00,TM26,124,15,C
2022-09-30 00:00:00,TM27,239,161,C
2022-09-30 00:00:00,J37,269,72,C
2022-09-30 00:00:00,BM1,60,0,C
2022-09-30 00:00:00,BM2,53,28,C
2022-09-30 00:00:00,BM26,460,312,C
2022-09-30 00:00:00,BWM,220,110,C
2022-09-30 00:00:00,TBMT,150,37,C
2022-09-30 00:00:00,TPM,384,221,C
2022-09-30 00:00:00,U29,338,307,C
2022-09-30 00:00:00,U27,20,15,C
2022-09-30 00:00:00,U18,312,88,C
2022-09-30 00:00:00,U30,143,72,C
2022-09-30 00:00:00,EPML,25,0,C
2022-09-30 00:00:00,TE25,298,88,C
2022-09-30 00:00:00,TE3,19,0,C
2022-09-30 00:00:00,TE4,30,0,C
2022-09-30 00:00:00,U28,15,13,C
