timestamp,carpark_number,total_lots,lots_available,lot_type
2022-11-01 00:01:00,HE12,105,64,C
2022-11-01 00:01:00,HLM,583,478,C
2022-11-01 00:01:00,RHM,329,128,C
2022-11-01 00:01:00,BM29,97,85,C
2022-11-01 00:01:00,Q81,96,74,C
2022-11-01 00:01:00,C20,177,128,C
2022-11-01 00:01:00,FR3M,228,175,C
2022-11-01 00:01:00,C32,289,100,C
2022-11-01 00:01:00,C6,332,99,C
2022-11-01 00:01:00,TG2,273,81,C
2022-11-01 00:01:00,BP1,543,213,C
2022-11-01 00:01:00,TG1,133,52,C
2022-11-01 00:01:00,TGM2,189,117,C
2022-11-01 00:01:00,TE14,138,35,C
2022-11-01 00:01:00,BM3,48,2,C
2022-11-01 00:01:00,BM9,612,121,C
2022-11-01 00:01:00,HG44,155,17,C
2022-11-01 00:01:00,HG64,82,29,C
2022-11-01 00:01:00,PM27,326,108,C
2022-11-01 00:01:00,PM28,305,66,C
2022-11-01 00:01:00,TM36,225,46,C
2022-11-01 00:01:00,TM37,244,69,C
2022-11-01 00:01:00,T50,350,112,C
2022-11-01 00:01:00,T51,346,30,C
2022-11-01 00:01:00,TM43,247,194,C
2022-11-01 00:01:00,T15,30,13,C
2022-11-01 00:01:00,T16,109,26,C
2022-11-01 00:01:00,T17,228,80,C
2022-11-01 00:01:00,T18,81,46,C
2022-11-01 00:01:00,B9,213,107,C
2022-11-01 00:01:00,B10,516,169,C
2022-11-01 00:01:00,B14,208,61,C
2022-11-01 00:01:00,WCB,143,77,C
2022-11-01 00:01:00,ACB,93,58,C
2022-11-01 00:01:00,CY,31,11,C
2022-11-01 00:01:00,AM46,408,54,C
2022-11-01 00:01:00,A12,205,91,C
2022-11-01 00:01:00,BE45,363,50,C
2022-11-01 00:01:00,BE39,707,171,C
2022-11-01 00:01:00,BE40,339,201,C
2022-11-01 00:01:00,RCB,320,181,C
2022-11-01 00:01:00,CR29,56,0,C
2022-11-01 00:01:00,KLM,352,279,C
2022-11-01 00:01:00,SE34,270,46,C
2022-11-01 00:01:00,KB7,65,45,C
2022-11-01 00:01:00,SE31,187,6,C
2022-11-01 00:01:00,J56,15,6,C
2022-11-01 00:01:00,J57,362,339,C
2022-11-01 00:01:00,J57L,13,9,C
2022-11-01 00:01:00,J33,129,49,C
2022-11-01 00:01:00,J34,123,53,C
2022-11-01 00:01:00,BL8,679,286,C
2022-11-01 00:01:00,J36,482,78,C
2022-11-01 00:01:00,J54,226,110,C
2022-11-01 00:01:00,J55,141,101,C
2022-11-01 00:01:00,J43,190,62,C
2022-11-01 00:01:00,J46,63,31,C
2022-11-01 00:01:00,KB1,239,62,C
2022-11-01 00:01:00,GBM,677,330,C
2022-11-01 00:01:00,SE14,187,52,C
2022-11-01 00:01:00,SE50,591,369,C
2022-11-01 00:01:00,J40,206,23,C
2022-11-01 00:01:00,JM1,268,107,C
2022-11-01 00:01:00,J32,199,76,C
2022-11-01 00:01:00,A11,368,138,C
2022-11-01 00:01:00,TR1,391,116,C
2022-11-01 00:01:00,JBM,342,216,C
2022-11-01 00:01:00,TE2,213,130,C
2022-11-01 00:01:00,CR31,93,2,C
2022-11-01 00:01:00,J1,368,132,C
2022-11-01 00:01:00,J2,200,91,C
2022-11-01 00:01:00,J3,308,114,C
2022-11-01 00:01:00,T37,1163,396,C
2022-11-01 00:01:00,KB3,149,56,C
2022-11-01 00:01:00,KBM,239,132,C
2022-11-01 00:01:00,J4,172,34,C
2022-11-01 00:01:00,TGM1,388,211,C
2022-11-01 00:01:00,TG3,208,72,C
2022-11-01 00:01:00,TG6,176,79,C
2022-11-01 00:01:00,TG7,362,134,C
2022-11-01 00:01:00,CR30,54,5,C
2022-11-01 00:01:00,RCM,151,51,C
2022-11-01 00:01:00,EPM,286,111,C
2022-11-01 00:01:00,TGM3,553,186,C
2022-11-01 00:01:00,KB14,58,48,C
2022-11-01 00:01:00,J41,350,94,C
